Membership No  Date Joined  Active  
    75311      2019-2-3     yes   
    37181      2020-8-23    no    
    53322      2019-2-11    yes   
    25447      2016-3-22    yes   
    93815      2016-12-20   no    
    16151      2015-11-15   yes   
    41969      2018-10-8    yes   
    95734      2015-4-1     no    
    43970      2017-3-6     no    
    22420      2017-4-17    yes   
    53384      2015-6-18    yes   
    10106      2015-9-7     yes   
    17966      2015-3-3     yes   
    28476      2016-6-1     no    
    84133      2018-11-3    yes   
    48989      2015-5-22    yes   
    76784      2018-9-1     yes   
    27216      2020-7-23    yes   
    98162      2017-10-9    no    
    68276      2020-9-8     no    
